Name,Location,URL,Opening Hours,Ticket Prices (Adult),Ticket Prices (Student)
Pyramid of Unas,Saqqara (Cairo),https://egymonuments.gov.eg/en/monuments/pyramid-of-unas,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
Serapeum,Saqqara (Cairo),https://egymonuments.gov.eg/en/monuments/serapeum,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
Tomb of the Two Brothers Niankh‑Khnum and Khnumhotep,Saqqara (Cairo),https://egymonuments.gov.eg/en/monuments/tomb-of-the-two-brothers-niankh-khnum-and-khnumhotep,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
Tomb of Mereruka,Saqqara (Cairo),https://egymonuments.gov.eg/en/monuments/tomb-of-mereruka,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
New Kingdom Cemetery,Saqqara (Cairo),https://egymonuments.gov.eg/en/monuments/new-kingdom-cemetery,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
Tomb of Horemheb,Saqqara (Cairo),https://egymonuments.gov.eg/en/monuments/tomb-of-horemheb,"{""Sunday"": ""08:00 AM - 05:00 PM"", ""Monday"": ""08:00 AM - 05:00 PM"", ""Tuesday"": ""08:00 AM - 05:00 PM"", ""Wednesday"": ""08:00 AM - 05:00 PM"", ""Thursday"": ""08:00 AM - 05:00 PM"", ""Friday"": ""08:00 AM - 05:00 PM"", ""Saturday"": ""08:00 AM - 05:00 PM""}",N/A,N/A
Baron Empain Palace,Cairo,https://egymonuments.gov.eg/en/monuments/baron-empain-palace,"{""Sunday"": ""09:00 AM - 06:00 PM"", ""Monday"": ""09:00 AM - 06:00 PM"", ""Tuesday"": ""09:00 AM - 06:00 PM"", ""Wednesday"": ""09:00 AM - 06:00 PM"", ""Thursday"": ""09:00 AM - 06:00 PM"", ""Friday"": ""09:00 AM - 06:00 PM"", ""Saturday"": ""09:00 AM - 06:00 PM""}",N/A,N/A
Bab Zuwayla,Al-Mu'izz Street (Cairo),https://egymonuments.gov.eg/en/monuments/bab-zuwayla,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
"Bayt Al-Suhaymi (""House of Suhaymi"")",Al-Mu'izz Street (Cairo),https://egymonuments.gov.eg/en/monuments/bayt-al-suhaymi-house-of-suhaymi,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Al-Aqmar Mosque,Al-Mu'izz Street (Cairo),https://egymonuments.gov.eg/en/monuments/al-aqmar-mosque,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Mosque of al-Hakim bi-Amr Allah,Al-Mu'izz Street (Cairo),https://egymonuments.gov.eg/en/monuments/mosque-of-al-hakim-bi-amr-allah,{},N/A,N/A
Bab al‑Futuh,Al-Mu'izz Street (Cairo),https://egymonuments.gov.eg/en/monuments/bab-al-futuh,{},N/A,N/A
Bab al-Nasr,Al-Mu'izz Street (Cairo),https://egymonuments.gov.eg/en/monuments/bab-al-nasr,{},N/A,N/A
Maimonides Synagogue,Cairo,https://egymonuments.gov.eg/en/monuments/maimonides-synagogue,{},N/A,N/A
Muhammad Ali Mosque,Cairo Citadel,https://egymonuments.gov.eg/en/monuments/muhammad-ali-mosque,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Sultan al-Nasir Muhammad Mosque,Cairo Citadel,https://egymonuments.gov.eg/en/monuments/sultan-al-nasir-muhammad-mosque,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Mosque and Madrasa of Sultan Hasan,Salah al-Din Square (Cairo),https://egymonuments.gov.eg/en/monuments/mosque-and-madrasa-of-sultan-hasan,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Al-Rifa’i Mosque,Salah al-Din Square (Cairo),https://egymonuments.gov.eg/en/monuments/al-rifa-i-mosque,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Ali Labib House,Salah al-Din Square (Cairo),https://egymonuments.gov.eg/en/monuments/ali-labib-house,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Ahmad Ibn Tulun Mosque,Al-Saliba Street (Cairo),https://egymonuments.gov.eg/en/monuments/ahmad-ibn-tulun-mosque,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Sabil Umm Abbas,Al-Saliba Street (Cairo),https://egymonuments.gov.eg/en/monuments/sabil-umm-abbas-1,{},N/A,N/A
The Takeyya Mawlawiyya Madrasa-Mausoleum of Amir Sunqur al-Sa'di,Al-Suyufiyya Street (Cairo),https://egymonuments.gov.eg/en/monuments/the-takeyya-mawlawiyya,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
